PMID,label,method
22790328,text mining,phase-contrast cine magnetic resonance imaging
22777088,text mining,logistic regression and by decision tree analysis
22763148,text mining,Immunohistochemical methods using several commercial antibodies
22753454,text mining,64-multi-detector computed tomography
22752318,both,database
22731395,text mining,behavioral lifestyle interventions
22727209,text mining,The Rush University Surgical Epilepsy Database
22647634,text mining,murine neurogenic cystitis model
22647460,text mining,Fluorescent in situ Hybridization (FISH) analysis in tissue microarray
22647349,text mining,image analysis
22621984,text mining,genetic
22595297,both,Logistic regression analysis
22580988,text mining,unilateral approach
22564777,text mining,computed tomography
22543896,text mining,low-dose dental computed tomography
22505211,both,FocalPoint Slide Profiler
22496739,both,fMRI
22492253,text mining,computer tomography coronary angiography
22484239,text mining,imageJ
22421222,both,Three-vessel multimodality coronary artery imaging
22421637,text mining,echocardiographic
22406779,text mining,MRA
22406232,other,Ultraviolet photography
22406230,text mining,Computer software
22393589,text mining,thin-section computed tomography
22381397,text mining,computer-assisted image analysis
22366793,text mining,pathogenic mechanism
22343639,text mining,Logistic multiple regression analysis
22261546,text mining,regression analyses
22244184,text mining,Voxel based morphometry
22231797,text mining,Pathological image analysis
22212727,text mining,satellite image processing
22198429,text mining,hypofractionated image-guided radiotherapy
22156926,text mining,selective portal vein embolization
22111801,text mining,neurovascular imaging protocol
22066905,text mining,T2-weighted magnetic resonance imaging
21982276,text mining,balloon-expandable valves
21972793,other,automatic segmentation method
21951570,computer vision,Mann-Whitney test and Spearman's rho
21916704,text mining,computer-assisted method
21912914,text mining,to review the relevant variants of AAS presentation
21901469,text mining,endovascular techniques
21887528,text mining,penetrating
21854299,text mining,oocyst isolation
21841203,text mining,diffusion-weighted imaging
21791593,both,brain magnetic resonance imaging
21782092,both,"Clinic-based, cross-sectional study"
21781477,text mining,Remote Sensing (RS) and Geographic Information System (GIS) technology
21777748,text mining,multidetector computed tomography
21717193,both,Exploratory univariate analyses
21691757,text mining,aneurysm clipping
21670338,both,digital and film images
21618696,text mining,Allograft gene expression analysis
21600536,text mining,Logistic regression
21576602,text mining,computed tomography
21566513,text mining,radiographically guided needle core biopsy
21560846,text mining,64 sliced MDCT
21533647,text mining,multislice computed tomography
23193853,computer vision,standardized method
21498342,text mining,multidetector CT
21481619,text mining,image-guided robotic SRS
21396453,other,maximum likelihood algorithm
21391174,text mining,selective literature
21346350,text mining,modified Rankin Scale
21346347,text mining,Multivariate testing
21300943,text mining,animal studies
21279660,text mining,Cerebral angiograms
21270432,both,computer-aided image analysis of the retina
21266042,text mining,Autopsy
21233675,text mining,digital planimetry
21224004,both,Hippocampal surface analysis
21214329,both,retrospectively
21191802,text mining,repeated MRIs
21184632,both,microneurosurgical technique
21178877,text mining,CT Scan
21175535,other,retrospective review of medical records
21174373,text mining,mNAPSI
21166572,text mining,Kaplan-Meier method
21153780,text mining,Computer-aided
21151866,text mining,Positron Emission Tomography
21128738,text mining,"retrospectively reviewed the clinical records, surgical treatment, and long-term outcome"
20967527,text mining,endovascular stent prosthesis
20955379,text mining,computer-based image analysis system
20951979,text mining,neuroimaging phenotypes
20846624,text mining,64-slice computed tomography angiography
20826256,text mining,magnetic resonance imaging myocardial tagging
20820001,both,"clinical, MRI, and genetic findings"
20798308,other,Virology
20652207,text mining,correlate the severity of sigmoid diverticulitis with patient age
20645651,other,automated
20512116,text mining,multivariate survival analysis
20510575,text mining,reverse-transcriptase polymerase chain reaction
20510424,text mining,MRI scan
20434052,text mining,semiautomated image analysis program
20427209,text mining,thoraco-abdominal CT angiography
20417931,both,Japanese Research Society Classification
20417448,text mining,Cardiac multislice spiral computed tomography
20400234,text mining,RT-PCR
20307509,text mining,helper virus-free vector stocks
20202518,text mining,cardiac computed tomography angiography
20202514,both,IntraVascular UltraSound
20153952,text mining,Voxel-based morphometric analyses
20146953,text mining,pulmonary artery vasoocclusion
20138739,text mining,regression models
20124213,both,METHODS
20056649,both,"double-blind, placebo-controlled"
20040244,text mining,BRAINS2
20019113,text mining,retrospective data base analysis
19754676,text mining,Noncoronary cusp replacement
19699921,both,Mediastinoscopy
19699919,text mining,Cox regression analysis
19638447,text mining,MRI
19635098,text mining,objective stereological techniques
19620435,text mining,imaging
19572986,both,MRI assessments
19533741,text mining,knee magnetic resonance images
19526375,text mining,transpedicular eggshell osteotomies and VCR
19475677,both,"Age, Gene/Environment Susceptibility"
19440749,other,Duplex sonography
19337964,text mining,bypass procedure
19332433,text mining,immunohistochemistry
19330364,text mining,criteria for instability
19304307,text mining,icosahedral symmetry of individual virions
19295207,text mining,computer-assisted measure of echogenicity
19287866,text mining,house-to-house visits in a 200m radius of the positive trap
19262984,text mining,computer-assisted measurement
19252108,text mining,wellness physical examination
19235581,both,Perspective-filet view
19230625,text mining,99mTc-HMPAO-SPECT brain scan
19204233,text mining,photographic bioimaging
19182148,text mining,tissue microarrays
19145479,text mining,chromogenic in situ hybridization analysis
19133646,text mining,logistic regression
19132386,text mining,computed photogrammetry
19095156,both,clinical management
19085689,text mining,Image analysis
19049744,text mining,hybrid
19046084,text mining,retrospective
19011775,text mining,fluoroscopic computed tomography
19010221,text mining,computed tomography
19010220,text mining,Three-dimensional computed tomography
19009247,text mining,automated immunofluorescent microscopy system
18974647,both,Standardized clinical instruments and diagnostic criteria
18926160,text mining,continuous electrocardiogram monitoring
18845466,text mining,radiotherapy alone
18815821,text mining,lateral approach
18807041,text mining,electronically
18765551,text mining,survival analysis
18702017,text mining,retrospective
18653685,text mining,Direct millimeter stenosis measures
18652943,text mining,coronary computed tomography angiography
18628459,text mining,automated quantitative analysis method
18617585,text mining,retrospectively reviewed CT scans
18576856,text mining,optical microscopy
18572794,computer vision,Modified Rapid Upper Limb Assessment
18556038,text mining,image reconstruction
18543415,text mining,Cardiac MRI in combination with MRA
18517276,text mining,a relational image database
